CustomerType,SpecialDayProximity,ExitRate,PageValue,TrafficSource,GeographicRegion,BounceRate,ProductPageTime,PurchaseCompleted
Returning_Visitor,0,0.2,0,1,1,0.2,0.000000395,0
Returning_Visitor,0,0.1,0,2,1,0,64.000000396,0
Returning_Visitor,,0.2,0,3,-9,0.2,0.000000397,0
Returning_Visitor,0,0.14,0,4,2,0.05,2.666667398,0
Returning_Visitor,0,,,4,1,0.02,627.500000399,0
New_Visitor,0,0.099637503,0,1,1,0.085005968,1505.388015978,0
Returning_Visitor,0,0.003024056,0,5,3,0.030921647,730.652165563,0
Returning_Visitor,0,0.017612171,0,2,-6,0.000002774,688.810331791,0
Returning_Visitor,0,0.001769253,0,3,2,0.011427268,1137.581880625,0
New_Visitor,0,0.016757342,0,4,3,0.012159243,0.000000009,0
Returning_Visitor,0,0.006045049,0,8,1,0.060166542,3385.306343817,0
Other,0.2,0.05,0,2,1,0.002699057,314.471514883,0
New_Visitor,0.6,0.014987127,9.856743386,2,4,0,1887.440451441,0
Returning_Visitor,0,0.04537277,0,2,1,0.000006437,763.968255472,0
Returning_Visitor,0,0.1,0,3,1,0.000139223,767.170696857,0
Returning_Visitor,0.4,0.05,11.564664182,13,-8,0.063258076,169.903754347,0
Returning_Visitor,0,0.005627824,0,10,1,0.000135776,1498.296324724,0
Returning_Visitor,0,0.088379018,0,9,3,0.013098373,288.56774084,0
Returning_Visitor,0,0.001692552,0,2,2,0.057782114,1746.285414395,0
Returning_Visitor,0,0.092387359,0,1,1,0,103.377690945,0
Returning_Visitor,0.4,0.024397523,0,11,1,0.2,1583.975965229,0
Returning_Visitor,0,0.003082573,0,6,4,0.164386996,3118.702597971,0
Returning_Visitor,0,0.020506023,3.061824992,3,3,0.062983964,347.653898548,0
New_Visitor,1,0.008826122,0,2,1,0.000010687,1352.179311659,0
Returning_Visitor,0,0.032068425,0,8,1,0.232524228,1529.982438653,0
New_Visitor,0.2,0.083104394,0,12,4,0,95.796436171,0
Returning_Visitor,0,0.003982639,23.344408171,2,-5,0.101529603,1121.99551589,1
Returning_Visitor,0,0.213828454,0,2,1,0.000024155,0.000000027,0
Returning_Visitor,0,0.026125732,0,3,1,0.274430877,103.771392113,0
Returning_Visitor,0,0.218945785,0,2,3,0.001521617,1094.685248587,0
Returning_Visitor,0,0.000002625,0,5,1,0.000000054,748.925789984,1
New_Visitor,0,0.002209736,0,10,4,0.000673541,3363.219444726,0
Returning_Visitor,0.2,0.03680286,0,2,3,0.000000199,0.000000032,0
Returning_Visitor,0,0.003281106,0,3,-6,0.003397549,1293.314240704,0
New_Visitor,0,0.024000091,79.971040754,4,1,0,509.753478037,1
New_Visitor,0,0.007441114,0,1,4,0.000016538,1017.257468648,0
New_Visitor,0,0.021752658,0,2,2,0,1365.629490282,0
Returning_Visitor,0,0.023443939,0,2,-5,0,1858.042408819,0
Returning_Visitor,0,0.038587183,0,7,1,0.04043877,1945.756377622,0
New_Visitor,0.4,0.2,0,2,4,0.002515265,0.000000039,0
Returning_Visitor,0.4,0.04010769,0,8,1,0.018402399,1125.019813176,0
Returning_Visitor,0,0.003907681,0,2,1,0.002431824,1591.671601388,0
Returning_Visitor,0.8,0.032969956,0,3,2,0.1,663.080065251,0
Returning_Visitor,0.4,0.008160916,0,2,-6,0.021487159,1097.710751296,0
Returning_Visitor,0,0.021442136,0,3,-5,0.000493987,1491.670999621,0
New_Visitor,0,0.027039645,38.348589152,1,1,0,910.338347329,1
Returning_Visitor,0,0.00947606,0,1,1,0.007836835,248.474720214,0
Returning_Visitor,0,0.017614101,0,2,4,0.05,529.376586214,0
Returning_Visitor,0,0.024038262,68.835497625,11,3,0.047149307,271.082815907,0
New_Visitor,0,0.000242023,0,7,4,0.000069671,0.000000049,0
New_Visitor,0.8,0.100500988,0,2,-6,0.000013217,552.676409253,0
Returning_Visitor,0,0.101268434,0,4,3,0.069854211,1820.735589428,0
Returning_Visitor,0,0.01265984,0,1,2,0.200361154,2092.938210638,0
New_Visitor,0,0.005405333,0,3,-6,0.027046511,571.200741302,0
Returning_Visitor,0,0.000637037,0,3,4,0.000000255,113.130929568,1
Returning_Visitor,0,0.027761031,0,6,1,0.051737503,2472.575362959,0
Returning_Visitor,0,0.000559446,0,2,4,0.05,1147.952921437,0
Returning_Visitor,0,0.029894975,0,4,1,0.000137977,1050.284840513,0
Returning_Visitor,0,0.047028874,0,2,1,0.000036715,3247.155996416,0
New_Visitor,0,0.014730293,0,3,1,0.043255689,762.652692757,0
Returning_Visitor,0.4,0.134288445,0,1,3,0.010246668,424.478094598,0
Returning_Visitor,0,0.05,2.551018583,3,4,0.003042023,1165.425181464,0
New_Visitor,0,0.003320281,0,1,3,0.025477986,423.226551336,0
New_Visitor,0,0.000085459,0,1,1,0,1603.058527729,1
Returning_Visitor,0,0.146797355,0,1,-7,0.000004488,182.019814457,0
Returning_Visitor,0,0.005533982,0,10,-7,0.000000001,0.000000065,0
Returning_Visitor,0.6,0.004142333,0,2,1,0.013493065,454.227908858,0
New_Visitor,0,0.039902781,0,1,3,0.05,1859.222483397,0
New_Visitor,0,0.066246886,0,2,3,0.120358788,2298.416366075,0
Returning_Visitor,0,0.053007184,0,8,1,0.045067436,1044.362227322,0
New_Visitor,0,0.000000466,1.386027743,3,4,0,601.441680885,1
New_Visitor,0,0.172573698,0,8,2,0.100972858,636.483977271,0
Returning_Visitor,0,0.046583584,0,3,3,0.017309246,1368.371028816,0
Returning_Visitor,0,0.000183015,35.882918829,8,4,0,5586.835713641,1
Returning_Visitor,0,0.2,0,1,4,0.000002825,1182.108926557,0
Returning_Visitor,0,0.066822661,0,2,3,0,0.000000075,0
Other,0,0.000000125,19.264752337,8,1,0,2553.821949624,1
Returning_Visitor,0,0.015304855,24.033210998,4,2,0.005584687,1883.839566347,0
New_Visitor,0,0.004436617,3.040834509,2,1,0,1359.132060105,1
Returning_Visitor,0,0.008085136,16.325376745,3,1,0.000012534,0.000000079,0
Returning_Visitor,0,0.025510631,0,3,1,0,959.390822817,0
Returning_Visitor,0.2,0.008534895,0,8,1,0.019394279,1485.526055433,0
Returning_Visitor,0,0.000052508,0,3,1,0.000001404,442.256984839,0
Returning_Visitor,0.2,0.009399209,44.182695893,2,-8,0.09977816,375.799441983,0
Returning_Visitor,0,0.20764261,9.3384179,2,-8,0.240796832,700.089416764,0
Returning_Visitor,0.4,0.061258814,0,2,4,0.000180792,230.255322152,0
Returning_Visitor,0,0.004576912,0,3,1,0,1069.685423775,0
Returning_Visitor,0,0.00000028,59.631958419,6,3,0.02,1504.272875592,1
Returning_Visitor,0,0.051941737,12.272077099,7,1,0.013074153,265.750743185,0
Returning_Visitor,0,0.03401319,40.741325497,1,1,0.033182769,766.361982042,0
Returning_Visitor,0,0.100662593,0,1,1,0.000000546,1740.939741419,0
New_Visitor,0,0.004070306,0,2,1,0.000000539,882.823515927,1
Returning_Visitor,0,0.138591782,0,2,4,0.000097086,1603.834750126,0
New_Visitor,0,0.005188104,0,1,-6,0.058263007,841.877408393,0
Returning_Visitor,0,0.05,0,2,1,0.00037441,308.287403377,0
Returning_Visitor,0,0.013845971,7.75535998,2,3,0.012367651,1022.588999849,0
Returning_Visitor,0,0.063674329,0,3,4,0.000000233,5076.879472841,1
Returning_Visitor,0.2,0.152708363,12.712439409,3,-5,0,261.010171319,1
Returning_Visitor,0.2,0.03495603,0,3,1,0.003308254,1359.139827652,0
New_Visitor,0,0.000216721,0,2,-7,0.000000002,896.706334369,1
Returning_Visitor,0,0.295603305,7.4197175,14,4,0.016393667,0.0000001,0
Returning_Visitor,0,0.1,0,5,1,0.000000004,2930.192642112,0
Returning_Visitor,0,0.01009048,0,2,1,0.05,942.970360219,0
Returning_Visitor,0.4,0.030843675,0,1,1,0.2,1693.857837906,0
Returning_Visitor,0,0.008033455,0,2,-7,0.163944043,1786.75337879,0
Returning_Visitor,0,0.015135063,0,2,4,0.036001193,1273.913605026,0
Returning_Visitor,0.2,0.101750851,0,6,3,0.007249672,1434.084246263,0
Returning_Visitor,0,0.007157611,0,13,-7,0.006193256,2302.743837803,0
Returning_Visitor,0,0.1,0,3,3,0.09144824,679.406757339,0
Returning_Visitor,0,0.005487009,7.060998007,2,1,0.000938893,709.670158661,0
Returning_Visitor,0,0,0,2,1,0.02,538.211893763,0
Returning_Visitor,0,0.020888921,0,13,1,0.02,992.666300053,0
Returning_Visitor,0,0.031723131,8.113736521,6,1,0.000000001,907.678510138,1
New_Visitor,0,0.000040167,173.31435535,9,2,0,488.436882533,1
New_Visitor,0,0.209992177,42.657357797,1,-6,0,2248.651578613,1
Returning_Visitor,0,0.2,15.722141603,9,1,0.000076024,1143.886012601,0
Returning_Visitor,0,0.029042293,0,4,1,0.000002808,56.909604662,0
New_Visitor,0,0.01,0,2,1,0.001965257,994.843702019,0
Returning_Visitor,0,0.018436511,3.506609722,2,1,0.001475524,397.96456931,0
Returning_Visitor,0,0.011212021,0,3,-6,0.000115875,3726.734175771,1
Returning_Visitor,0,0.073698332,6.072231086,3,1,0.000072186,1461.096864639,0
Returning_Visitor,0,0.01026016,0,2,1,0,4557.411030801,0
Returning_Visitor,0,0.007423591,124.612953513,1,4,0,1924.428232272,1
New_Visitor,0,0.119454313,0,2,1,0.009315743,805.389340454,0
Returning_Visitor,0,0.02,0,5,1,0.060669683,1073.967531692,0
Returning_Visitor,0.4,0.026977537,0,1,-6,0.128607891,808.761828175,0
Returning_Visitor,0,0.092073533,8.751485718,7,-8,0.001584212,3013.131751984,0
Returning_Visitor,0,0.000000232,103.098256252,6,4,0,847.172896579,1
Returning_Visitor,0,0.000450939,10.7321968,3,1,0.000000289,0.000000128,1
New_Visitor,0,0.17982713,0,4,2,0.016068803,568.682422113,0
Returning_Visitor,0,0.08033087,0,2,-8,0.031878564,0.00000013,0
Returning_Visitor,0.2,0.169947143,0,2,4,0.008987369,445.852722525,0
Returning_Visitor,0,0.004427928,0,3,2,0,199.073917124,0
Returning_Visitor,0,0.011628298,39.154869173,17,1,0,1737.233649282,1
Returning_Visitor,0,0.041772356,0,3,3,0.028088167,178.862736711,0
Returning_Visitor,0,0.177524096,0,2,3,0,2097.729041349,0
